Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/quiz/,"8,390","7,215",00:01:03,"5,044",27.25%,25.89%,$0.00
/quiz/take-the-quiz/,"7,512","6,839",00:06:06,"1,716",85.90%,78.50%,$0.00
/books/multipliers/,"7,472","6,546",00:01:43,"6,065",51.84%,53.59%,$0.00
/,"4,340","3,815",00:01:43,"3,267",59.03%,59.01%,$0.00
/services/assessments/,985,811,00:02:36,423,50.35%,48.12%,$0.00
/who-we-are/our-team/,622,515,00:01:04,108,61.32%,33.44%,$0.00
/challenge/,611,571,00:02:51,92,55.56%,45.99%,$0.00
/reading-guide/,604,576,00:03:04,82,71.08%,55.96%,$0.00
/who-we-are/our-team/liz-wiseman/,471,436,00:02:41,248,64.92%,59.24%,$0.00
/services/keynotes/,467,396,00:02:34,79,64.20%,46.47%,$0.00
,"42,610","37,790",00:02:06,"23,915",56.27%,56.13%,$0.00
Day Index,Pageviews,,,,,,
10/1/20,591,,,,,,
10/2/20,487,,,,,,
10/3/20,118,,,,,,
10/4/20,299,,,,,,
10/5/20,581,,,,,,
10/6/20,622,,,,,,
10/7/20,615,,,,,,
10/8/20,798,,,,,,
10/9/20,368,,,,,,
10/10/20,162,,,,,,
10/11/20,203,,,,,,
10/12/20,586,,,,,,
10/13/20,606,,,,,,
10/14/20,"1,843",,,,,,
10/15/20,"1,500",,,,,,
10/16/20,"1,166",,,,,,
10/17/20,255,,,,,,
10/18/20,264,,,,,,
10/19/20,898,,,,,,
10/20/20,"1,137",,,,,,
10/21/20,879,,,,,,
10/22/20,"1,462",,,,,,
10/23/20,483,,,,,,
10/24/20,170,,,,,,
10/25/20,223,,,,,,
10/26/20,859,,,,,,
10/27/20,781,,,,,,
10/28/20,695,,,,,,
10/29/20,945,,,,,,
10/30/20,416,,,,,,
10/31/20,112,,,,,,
11/1/20,207,,,,,,
11/2/20,624,,,,,,
11/3/20,551,,,,,,
11/4/20,733,,,,,,
11/5/20,548,,,,,,
11/6/20,427,,,,,,
11/7/20,183,,,,,,
11/8/20,320,,,,,,
11/9/20,638,,,,,,
11/10/20,562,,,,,,
11/11/20,646,,,,,,
11/12/20,748,,,,,,
11/13/20,355,,,,,,
11/14/20,182,,,,,,
11/15/20,341,,,,,,
11/16/20,449,,,,,,
11/17/20,545,,,,,,
11/18/20,586,,,,,,
11/19/20,641,,,,,,
11/20/20,374,,,,,,
11/21/20,140,,,,,,
11/22/20,220,,,,,,
11/23/20,611,,,,,,
11/24/20,475,,,,,,
11/25/20,444,,,,,,
11/26/20,228,,,,,,
11/27/20,201,,,,,,
11/28/20,111,,,,,,
11/29/20,223,,,,,,
11/30/20,574,,,,,,
12/1/20,908,,,,,,
12/2/20,700,,,,,,
12/3/20,551,,,,,,
12/4/20,390,,,,,,
12/5/20,163,,,,,,
12/6/20,234,,,,,,
12/7/20,464,,,,,,
12/8/20,491,,,,,,
12/9/20,482,,,,,,
12/10/20,504,,,,,,
12/11/20,322,,,,,,
12/12/20,152,,,,,,
12/13/20,204,,,,,,
12/14/20,433,,,,,,
12/15/20,469,,,,,,
12/16/20,453,,,,,,
12/17/20,304,,,,,,
12/18/20,237,,,,,,
12/19/20,95,,,,,,
12/20/20,98,,,,,,
12/21/20,359,,,,,,
12/22/20,266,,,,,,
12/23/20,202,,,,,,
12/24/20,92,,,,,,
12/25/20,68,,,,,,
12/26/20,80,,,,,,
12/27/20,122,,,,,,
12/28/20,214,,,,,,
12/29/20,222,,,,,,
12/30/20,190,,,,,,
12/31/20,130,,,,,,
,"42,610",,,,,,
Total,,,,,,,
/quiz/,"11,648","9,398",00:00:46,"6,625",28.63%,25.17%,$0.00
/quiz/take-the-quiz/,"9,984","8,834",00:05:08,"2,092",90.06%,76.33%,$0.00
/books/multipliers/,"7,949","6,754",00:01:51,"6,174",56.61%,55.62%,$0.00
/,"3,407","2,973",00:01:10,"2,640",35.22%,53.39%,$0.00
/who-we-are/our-team/,"1,870","1,376",00:00:52,744,40.05%,31.39%,$0.00
/accidental-diminisher-quiz/,"1,841","1,700",00:02:35,"1,664",93.15%,91.15%,$0.00
/thinkers50/,"1,304","1,026",00:01:54,923,82.67%,71.55%,$0.00
/books/the-multiplier-effect/,997,853,00:01:30,564,41.13%,37.71%,$0.00
/services/workshops/,997,788,00:01:47,332,68.98%,44.23%,$0.00
/services/assessments/,955,819,00:02:09,352,63.07%,50.26%,$0.00
,"65,455","43,856",00:01:06,"27,466",57.49%,41.96%,$0.00
Day Index,Pageviews,,,,,,
7/1/19,"1,151",,,,,,
7/2/19,"1,560",,,,,,
7/3/19,590,,,,,,
7/4/19,441,,,,,,
7/5/19,293,,,,,,
7/6/19,396,,,,,,
7/7/19,252,,,,,,
7/8/19,"1,527",,,,,,
7/9/19,"1,175",,,,,,
7/10/19,"1,015",,,,,,
7/11/19,"1,093",,,,,,
7/12/19,957,,,,,,
7/13/19,708,,,,,,
7/14/19,456,,,,,,
7/15/19,581,,,,,,
7/16/19,603,,,,,,
7/17/19,525,,,,,,
7/18/19,459,,,,,,
7/19/19,400,,,,,,
7/20/19,190,,,,,,
7/21/19,213,,,,,,
7/22/19,597,,,,,,
7/23/19,"1,466",,,,,,
7/24/19,"1,404",,,,,,
7/25/19,"1,014",,,,,,
7/26/19,907,,,,,,
7/27/19,195,,,,,,
7/28/19,229,,,,,,
7/29/19,941,,,,,,
7/30/19,"1,165",,,,,,
7/31/19,683,,,,,,
8/1/19,614,,,,,,
8/2/19,493,,,,,,
8/3/19,237,,,,,,
8/4/19,264,,,,,,
8/5/19,659,,,,,,
8/6/19,693,,,,,,
8/7/19,"1,003",,,,,,
8/8/19,"1,482",,,,,,
8/9/19,514,,,,,,
8/10/19,240,,,,,,
8/11/19,330,,,,,,
8/12/19,756,,,,,,
8/13/19,"1,864",,,,,,
8/14/19,"1,481",,,,,,
8/15/19,"1,064",,,,,,
8/16/19,557,,,,,,
8/17/19,286,,,,,,
8/18/19,322,,,,,,
